"from","to","database","source"
"APP","SORL1","omnipath","omnipath"
"APP","GPC1","omnipath","omnipath"
"AREG","EGFR","omnipath","omnipath"
"AREG","ERBB2","omnipath","omnipath"
"AREG","ERBB3","omnipath","omnipath"
"AREG","MMP9","omnipath","omnipath"
"ARF1","PLD2","nichenet_verschueren","nichenet_verschueren"
"ARMH4","TNFRSF11B","nichenet_verschueren","nichenet_verschueren"
"ARTN","GFRA3","omnipath","omnipath"
"ARTN","GFRA2","omnipath","omnipath"
"ARTN","GFRA1","omnipath","omnipath"
"ARTN","RET","omnipath","omnipath"
"ARTN","NCAM1","omnipath","omnipath"
"ASIP","MGRN1","nichenet_verschueren","nichenet_verschueren"
"ASIP","ATRN","omnipath","omnipath"
"ASIP","MC1R","omnipath","omnipath"
"ASIP","MC3R","omnipath","omnipath"
"ASIP","MC4R","omnipath","omnipath"
"ASIP","MC5R","omnipath","omnipath"
"ASIP","MC2R","omnipath","omnipath"
"ASIP","F11R","omnipath","omnipath"
"ATP1B1","NEGR1","omnipath","omnipath"
"AVP","OXTR","omnipath","omnipath"
"AVP","AVPR1A","omnipath","omnipath"
"AVP","AVPR1B","omnipath","omnipath"
"AVP","AVPR2","omnipath","omnipath"
"AVP","AQP2","omnipath","omnipath"
"AZGP1","ITGAV","omnipath","omnipath"
"B2M","TAP1","omnipath","omnipath"
"B2M","TAP2","omnipath","omnipath"
"B2M","CD1A","omnipath","omnipath"
"B2M","LILRB1","omnipath","omnipath"
"B2M","CD1B","omnipath","omnipath"
"B2M","KLRD1","omnipath","omnipath"
"B2M","KLRC1","omnipath","omnipath"
"BACE1","APP","omnipath","omnipath"
"BACE1","SELPLG","omnipath","omnipath"
"BACE2","APP","omnipath","omnipath"
"BCAN","NRCAM","omnipath","omnipath"
"BCAN","EGFR","omnipath","omnipath"
"BDNF","NTRK2","omnipath","omnipath"
"BDNF","NGFR","omnipath","omnipath"
"BDNF","DRD4","omnipath","omnipath"
"BDNF","SORT1","omnipath","omnipath"
"BDNF","ERBB2","omnipath","omnipath"
"BGN","TLR4","omnipath","omnipath"
"BGN","TLR1","omnipath","omnipath"
"BGN","TLR2","omnipath","omnipath"
"BGN","FGFR3","omnipath","omnipath"
"BMP1","BMPR2","omnipath","omnipath"
"BMP1","BMPR1A","omnipath","omnipath"
"BMP1","BMPR1B","omnipath","omnipath"
"BMP10","ACVR2B","nichenet_verschueren","nichenet_verschueren"
"BMP10","BMPR1B","omnipath","omnipath"
"BMP10","BMPR1A","omnipath","omnipath"
"BMP10","ACVR1","omnipath","omnipath"
"BMP10","ENG","omnipath","omnipath"
"BMP10","ACVR2A","omnipath","omnipath"
"BMP10","ACVRL1","omnipath","omnipath"
"BMP10","BMPR2","omnipath","omnipath"
"BMP15","ACVR1","nichenet_verschueren","nichenet_verschueren"
"BMP15","BMPR2","omnipath","omnipath"
"BMP15","BMPR1A","omnipath","omnipath"
"BMP15","BMPR1B","omnipath","omnipath"
"BMP15","ACVR2A","omnipath","omnipath"
"BMP15","ACVR2B","omnipath","omnipath"
"BMP15","TGFBR1","omnipath","omnipath"
"BMP2","BMPR2","omnipath","omnipath"
"BMP2","ACVR2B","omnipath","omnipath"
"BMP2","BMPR1B","omnipath","omnipath"
"BMP2","ACVR2A","omnipath","omnipath"
"BMP2","BMPR1A","omnipath","omnipath"
"BMP2","ACVR1","omnipath","omnipath"
"BMP2","HJV","omnipath","omnipath"
"BMP2","ENG","omnipath","omnipath"
"BMP3","ACVR1","nichenet_verschueren","nichenet_verschueren"
