"from","to","database","source"
"Alkal2","Alk","omnipath","omnipath"
"Alkal2","Ltk","omnipath","omnipath"
"Alox5ap","Alox5","nichenet_verschueren","nichenet_verschueren"
"Ambn","Cd63","omnipath","omnipath"
"Amelx","Cd63","omnipath","omnipath"
"Amelx","Lamp1","omnipath","omnipath"
"Amelx","Lamp2","omnipath","omnipath"
"Amh","Acvr1","omnipath","omnipath"
"Amh","Amhr2","omnipath","omnipath"
"Amh","Bmpr1a","omnipath","omnipath"
"Amh","Bmpr1b","omnipath","omnipath"
"Amh","Egfr","omnipath","omnipath"
"Amh","Grem2","omnipath","omnipath"
"Ang","Egfr","omnipath","omnipath"
"Ang","Plxnb2","omnipath","omnipath"
"Ang2","Egfr","omnipath","omnipath"
"Ang2","Plxnb2","omnipath","omnipath"
"Ang4","Egfr","omnipath","omnipath"
"Ang4","Plxnb2","omnipath","omnipath"
"Ang5","Egfr","omnipath","omnipath"
"Ang5","Plxnb2","omnipath","omnipath"
"Ang6","Egfr","omnipath","omnipath"
"Ang6","Plxnb2","omnipath","omnipath"
"Angpt1","Itga5","omnipath","omnipath"
"Angpt1","Itgb1","omnipath","omnipath"
"Angpt1","Tek","omnipath","omnipath"
"Angpt1","Tie1","omnipath","omnipath"
"Angpt2","Itga5","omnipath","omnipath"
"Angpt2","Itgb1","omnipath","omnipath"
"Angpt2","Tek","omnipath","omnipath"
"Angpt2","Tie1","omnipath","omnipath"
"Angpt4","Tek","omnipath","omnipath"
"Angpt4","Tie1","omnipath","omnipath"
"Angptl1","Itga1","omnipath","omnipath"
"Angptl1","Itgb1","omnipath","omnipath"
"Angptl1","Pira1","omnipath","omnipath"
"Angptl1","Pira2","omnipath","omnipath"
"Angptl1","Lilra6","omnipath","omnipath"
"Angptl1","Pira6","omnipath","omnipath"
"Angptl1","Pirb","omnipath","omnipath"
"Angptl1","Gm14548","omnipath","omnipath"
"Angptl1","Gm15448","omnipath","omnipath"
"Angptl1","Pira12","omnipath","omnipath"
"Angptl1","Lilra5","omnipath","omnipath"
"Angptl1","Pira13","omnipath","omnipath"
"Angptl1","Tek","omnipath","omnipath"
"Angptl2","Itga5","omnipath","omnipath"
"Angptl2","Itgb1","omnipath","omnipath"
"Angptl2","Pira1","omnipath","omnipath"
"Angptl2","Pira2","omnipath","omnipath"
"Angptl2","Lilra6","omnipath","omnipath"
"Angptl2","Pira6","omnipath","omnipath"
"Angptl2","Pirb","omnipath","omnipath"
"Angptl2","Gm14548","omnipath","omnipath"
"Angptl2","Gm15448","omnipath","omnipath"
"Angptl2","Pira12","omnipath","omnipath"
"Angptl2","Lilra5","omnipath","omnipath"
"Angptl2","Pira13","omnipath","omnipath"
"Angptl2","Tie1","omnipath","omnipath"
"Angptl2","Tlr4","omnipath","omnipath"
"Angptl3","Itga5","omnipath","omnipath"
